,Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Company,Company_real
1329,Verzio Envii,2008-05-01,2008,1330,0.031220435,0.016777517,0.311686129,0.071942446,0.056910569,0.142857143,0.140518417,0.233606557,0.076330981,0.014260326,0.018318966,0.259464917,Verzio,Verzio Mobile
1330,Asus P320 (Asus Galaxy Mini),2008-06-01,2008,1331,0.031220435,0.002096294,0.100089641,0.064748201,0.056910569,0.142857143,0.130968622,0.204918033,0.046504169,0.00597392,0.009698276,0.276375568,Asus,Asus
1331,Datalogic Mobile Kyman,2008-06-01,2008,1332,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.230559345,0.774590164,0.313662604,0.085519132,0.078448276,0.17617365,Datalogic,Roper Technologies
1332,Datalogic Mobile Kyman GUN,2008-06-01,2008,1333,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.230559345,0.774590164,1.0,0.085519132,0.078448276,0.17617365,Datalogic,Roper Technologies
1333,Dopod S505,2008-06-01,2008,1334,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.144884038,0.213114754,0.050032072,0.008479113,0.011206897,0.244068652,Dopod,HTC
1334,Dopod S700 (HTC Fuwa),2008-06-01,2008,1335,0.062471389,0.004193611,0.249657844,0.079136691,0.056910569,0.142857143,0.144884038,0.213114754,0.073765234,0.013232555,0.016487069,0.244068652,Dopod,HTC
1335,Dopod Touch Diamond S900 (HTC Diamond 100),2008-06-01,2008,1336,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.033675433,0.003190373,0.010775862,0.620646138,Dopod,HTC
1336,DreimGO DG210,2008-06-01,2008,1337,0.031220435,0.001047635,0.185628647,0.18705036,0.154471545,0.119047619,0.200545703,0.270491803,0.101988454,0.033895039,0.034051724,0.21251893,DreimGO,DreimGO
1337,Hewlett-Packard iPAQ 600 / 610 / 612 / 614,2008-06-01,2008,1338,0.062471389,0.004193611,0.259662406,0.079136691,0.056910569,0.142857143,0.146793997,0.278688525,0.073123797,0.017001049,0.018318966,0.244068652,Hewlett-Packard,Hewlett-Packard
1338,HTC Touch Diamond P3700 (HTC Diamond 100),2008-06-01,2008,1339,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.034637588,0.003361668,0.010775862,0.620646138,HTC,HTC
1339,HTC Touch Dual US (HTC Neon 300),2008-06-01,2008,1340,0.062471389,0.004193611,0.199635034,0.064748201,0.056910569,0.142857143,0.132332879,0.237704918,0.062219371,0.010470419,0.012931034,0.270570419,HTC,HTC
1340,HTC Touch Find (HTC Polaris 200),2008-06-01,2008,1341,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.140518417,0.25,0.060295061,0.011733722,0.015086207,0.254164563,HTC,HTC
1341,Mio Moov 301 / Moov 350,2008-06-01,2008,1342,0.031220435,0.031878203,0.199635034,0.18705036,0.154471545,0.119047619,0.323328786,0.127663934,0.077293137,0.029484187,0.023922414,0.21251893,Mio,MiTAC International Corp
1342,Mio Moov 380,2008-06-01,2008,1343,0.031220435,0.031878203,0.199635034,0.18705036,0.154471545,0.119047619,0.334242838,0.118852459,0.04041052,0.017279404,0.022413793,0.21251893,Mio,MiTAC International Corp
1343,Motorola MC75 CDMA,2008-06-01,2008,1344,0.062471389,0.004193611,0.311686129,0.129496403,0.154471545,0.301587302,0.211459754,0.423770492,0.243104554,0.111170589,0.078017241,0.464159515,Motorola,Motorola
1344,Motorola MC75 GSM,2008-06-01,2008,1345,0.062471389,0.004193611,0.311686129,0.129496403,0.154471545,0.301587302,0.211459754,0.423770492,0.243104554,0.111170589,0.078017241,0.464159515,Motorola,Motorola
1345,NDrive G800 / G800R / G800S,2008-06-01,2008,1346,0.031220435,0.001047635,0.185628647,0.18705036,0.154471545,0.119047619,0.208731241,0.295081967,0.089159718,0.03357386,0.032327586,0.21251893,NDrive,NDrive
1346,Nokia E66 (Nokia Dora),2008-06-01,2008,1347,0.062471389,0.004193611,0.184127962,0.050359712,0.056910569,0.142857143,0.117326057,0.239754098,0.048107761,0.006059568,0.013146552,0.308430086,Nokia,Nokia Corporation
1347,Nokia E71,2008-06-01,2008,1348,0.062471389,0.004193611,0.184127962,0.050359712,0.089430894,0.103174603,0.137789905,0.266393443,0.025016036,0.004475087,0.014439655,0.315244826,Nokia,Nokia Corporation
1348,NTT DoCoMo FOMA HT1100 (HTC Nike),2008-06-01,2008,1349,0.062471389,0.004193611,0.199635034,0.064748201,0.056910569,0.142857143,0.132332879,0.237704918,0.066709429,0.011348307,0.012931034,0.270570419,NTT,"NTT DOCOMO, Inc"
1349,Prestigio GeoVision 100,2008-06-01,2008,1350,0.031220435,0.008388246,0.149612223,0.129496403,0.089430894,0.103174603,0.255115962,0.110655738,0.101988454,0.02635805,0.025862069,0.17617365,Prestigio,Archos
1350,RoverPC evo X7 (SIM Wacke),2008-06-01,2008,1351,0.062471389,0.004193611,0.311686129,0.107913669,0.056910569,0.142857143,0.160982265,0.295081967,0.069916613,0.019399182,0.015517241,0.204442201,RoverPC,RoverComputers
1351,RoverPC new P7 (SIM N5),2008-06-01,2008,1352,0.031220435,0.002096294,0.207638683,0.079136691,0.056910569,0.142857143,0.148703956,0.258196721,0.049390635,0.010748774,0.007543103,0.244068652,RoverPC,RoverComputers
1352,Samsung SGH-i550w,2008-06-01,2008,1353,0.062471389,0.004193611,0.164619066,0.064748201,0.056910569,0.142857143,0.126875853,0.270491803,0.049390635,0.00856476,0.010560345,0.273599192,Samsung,Samsung
1353,Sony Ericsson G900 (SE Tyra),2008-06-01,2008,1354,0.062471389,0.004193611,0.103591238,0.050359712,0.056910569,0.142857143,0.115961801,0.233606557,0.04425914,0.005010385,0.008405172,0.308430086,Sony Ericsson,Sony Ericsson
1354,TELE System TS8800PND,2008-06-01,2008,1355,0.031220435,0.002096294,0.199635034,0.18705036,0.154471545,0.119047619,0.320600273,0.137295082,0.103271328,0.039183778,0.036637931,0.21251893,TELE,Mobile TeleSystems
1355,ThinkNavi T7,2008-06-01,2008,1356,0.062471389,0.001047635,0.249657844,0.381294964,0.284552846,0.222222222,0.508867667,0.286885246,0.108402822,0.103655011,0.082758621,0.22387683,ThinkNavi,ThinkNavi 
1356,Toshiba Portege G810,2008-06-01,2008,1357,0.062471389,0.004193611,0.199635034,0.079136691,0.056910569,0.142857143,0.148703956,0.260245902,0.050032072,0.010984305,0.013577586,0.244573448,Toshiba,Toshiba Corporation
1357,WayteQ N720,2008-06-01,2008,1358,0.031220435,0.001047635,0.185628647,0.18705036,0.154471545,0.119047619,0.214188267,0.270491803,0.101988454,0.03661435,0.028017241,0.21251893,WayteQ,Wayteq Technology
1358,ZTE e760,2008-06-01,2008,1359,0.031220435,0.002096294,0.15561496,0.079136691,0.056910569,0.142857143,0.14324693,0.25204918,0.064143682,0.013039848,0.018318966,0.249116608,ZTE,ZTE
1359,"Apple iPhone 3G 16GB (Apple iPhone 1,2)",2008-07-01,2008,1360,0.062471389,0.000243117,0.205637771,0.129496403,0.089430894,0.222222222,0.151705321,0.272540984,0.039769083,0.009442648,0.015732759,0.299343766,Apple,Apple Inc
1360,"Apple iPhone 3G 8GB (Apple iPhone 1,2)",2008-07-01,2008,1361,0.062471389,0.000121866,0.205637771,0.129496403,0.089430894,0.222222222,0.151705321,0.272540984,0.039769083,0.009442648,0.015732759,0.299343766,Apple,Apple Inc
1361,Cowon P5 60GB,2008-07-01,2008,1362,0.062471389,0.004193611,0.349703465,0.237410072,0.284552846,0.222222222,0.360982265,0.161885246,0.089159718,0.013703616,0.007327586,0.480060575,Cowon,"Cowon Systems, Inc"
1362,Cowon P5 80GB,2008-07-01,2008,1363,0.062471389,0.004193611,0.349703465,0.237410072,0.284552846,0.222222222,0.360982265,0.161885246,0.089159718,0.118150868,0.103448276,0.080262494,Cowon,"Cowon Systems, Inc"
1363,Cowon P5 Study 40GB,2008-07-01,2008,1364,0.062471389,0.004193611,0.349703465,0.237410072,0.284552846,0.222222222,0.360982265,0.161885246,0.089159718,0.043166392,0.068965517,0.358909642,Cowon,"Cowon Systems, Inc"
1364,Cowon P5 Study 60GB,2008-07-01,2008,1365,0.062471389,0.004193611,0.349703465,0.237410072,0.284552846,0.222222222,0.360982265,0.161885246,0.089159718,0.043166392,0.068965517,0.358909642,Cowon,"Cowon Systems, Inc"
1365,Cowon P5 Study 80GB,2008-07-01,2008,1366,0.062471389,0.004193611,0.349703465,0.237410072,0.284552846,0.222222222,0.360982265,0.161885246,0.089159718,0.043166392,0.068965517,0.358909642,Cowon,"Cowon Systems, Inc"
1366,Emobile Emonster lite S12HT (HTC Nike),2008-07-01,2008,1367,0.062471389,0.004193611,0.199635034,0.064748201,0.056910569,0.142857143,0.132332879,0.237704918,0.062219371,0.010470419,0.012931034,0.270570419,Emobile,Huawei
1367,Hewlett-Packard iPAQ 910 / 912 / 914,2008-07-01,2008,1368,0.062471389,0.004193611,0.207638683,0.057553957,0.089430894,0.103174603,0.157380628,0.266270492,0.057087877,0.014046207,0.020258621,0.298334175,Hewlett-Packard,Hewlett-Packard
1368,HTC P3400i,2008-07-01,2008,1369,0.031220435,0.002096294,0.100089641,0.079136691,0.056910569,0.142857143,0.140518417,0.245901639,0.074085953,0.014453033,0.014224138,0.254164563,HTC,HTC
1369,HTC Touch Diamond P3702 Victor (HTC Diamond 200),2008-07-01,2008,1370,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.12414734,0.22295082,0.036433611,0.004111085,0.008189655,0.620646138,HTC,HTC
1370,Mio C725 Digi-Walker,2008-07-01,2008,1371,0.031220435,0.031878203,0.199635034,0.381294964,0.284552846,0.222222222,0.478854025,0.303278689,0.108402822,0.100807229,0.068965517,0.22387683,Mio,MiTAC International Corp
1371,Motorola ZINE ZN5,2008-07-01,2008,1372,0.031220435,0.008388246,0.249657844,0.050359712,0.056910569,0.142857143,0.12005457,0.282786885,0.063502245,0.010962893,0.011637931,0.308430086,Motorola,Motorola
1372,Nokia 5320 XpressMusic,2008-07-01,2008,1373,0.062471389,0.004193611,0.184127962,0.021582734,0.056910569,0.142857143,0.107776262,0.241803279,0.057087877,0.006509218,0.006465517,0.390711762,Nokia,Nokia Corporation
1373,Nokia 6220 classic,2008-07-01,2008,1374,0.062471389,0.004193611,0.184127962,0.035971223,0.056910569,0.142857143,0.109140518,0.241803279,0.05837075,0.006894632,0.006465517,0.345784957,Nokia,Nokia Corporation
1374,Nokia 6650 fold,2008-07-01,2008,1375,0.031220435,0.002096294,0.184127962,0.035971223,0.056910569,0.142857143,0.111323329,0.207786885,0.064785119,0.006916044,0.011206897,0.345784957,Nokia,Nokia Corporation
1375,Nokia N810 Internet Tablet WiMAX Edition,2008-07-01,2008,1376,0.062471389,0.004193611,0.199635034,0.172661871,0.284552846,0.222222222,0.331514325,0.094262295,0.050673509,0.011391131,0.035775862,0.308430086,Nokia,Nokia Corporation
1376,Palm Treo 800w,2008-07-01,2008,1377,0.062471389,0.004193611,0.166119751,0.050359712,0.089430894,0.142857143,0.140518417,0.258196721,0.079538165,0.016294456,0.017241379,0.367491166,Palm,Palm
1377,Sharp 03 WS020SH,2008-07-01,2008,1378,0.062471389,0.004193611,0.259662406,0.09352518,0.284552846,0.222222222,0.118690314,0.274590164,0.075689545,0.012782905,0.016163793,0.66481575,Sharp,Sharp Corporation
1378,Simvalley Mobile Smartphone XP-25,2008-07-01,2008,1379,0.031220435,0.002096294,0.149612223,0.050359712,0.056910569,0.142857143,0.125511596,0.229508197,0.060295061,0.008843115,0.010775862,0.308430086,Simvalley,Simvalley Mobile
1379,T-Mobile Ameo 16GB (HTC Athena 400),2008-07-01,2008,1380,0.062471389,0.004193611,0.311686129,0.237410072,0.219512195,0.222222222,0.249658936,0.346311475,0.06863374,0.03762071,0.064439655,0.288743059,T-Mobile,T-Mobile
1380,T-Mobile MDA Compact IV (HTC Diamond 200),2008-07-01,2008,1381,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.12414734,0.213114754,0.033547146,0.003297433,0.008189655,0.620646138,T-Mobile,T-Mobile
1381,HKC G901 (TechFaith Bono),2008-08-01,2008,1382,0.062471389,0.003144952,0.259662406,0.09352518,0.154471545,0.380952381,0.14324693,0.278688525,0.092366902,0.020855191,0.025862069,0.674911661,HKC,TechFaith Wirelessæ
1382,HTC Touch Diamond CDMA P3051 (HTC Diamond),2008-08-01,2008,1383,0.124973296,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.120873124,0.213114754,0.050032072,0.005824037,0.011422414,0.620646138,HTC,HTC
1383,HTC Touch Dual 850 (HTC Neon),2008-08-01,2008,1384,0.062471389,0.004193611,0.199635034,0.064748201,0.056910569,0.142857143,0.132332879,0.237704918,0.070237332,0.012033488,0.012931034,0.270570419,HTC,HTC
1384,HTC Touch Pro T7272 (HTC Raphael 100),2008-08-01,2008,1385,0.140598773,0.008388246,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.0766517,0.010663127,0.02262931,0.620646138,HTC,HTC
1385,JoinTech eBook JE100,2008-08-01,2008,1386,0.031220435,0.002096294,0.199635034,0.381294964,0.284552846,0.222222222,0.478854025,0.278688525,0.053880693,0.056677301,0.040948276,0.22387683,JoinTech,Join Technology
1386,Nokia 6210 Navigator,2008-08-01,2008,1387,0.031220435,0.004193611,0.184127962,0.050359712,0.056910569,0.142857143,0.115961801,0.221311475,0.05644644,0.006659101,0.012284483,0.308430086,Nokia,Nokia Corporation
1387,Opticon H16,2008-08-01,2008,1388,0.031220435,0.002096294,0.199635034,0.079136691,0.056910569,0.142857143,0.145975443,0.319672131,0.140474663,0.036250348,0.025862069,0.244068652,Opticon,Opticon Inc
1388,Opticon H16B,2008-08-01,2008,1389,0.031220435,0.002096294,0.199635034,0.079136691,0.056910569,0.142857143,0.145975443,0.319672131,0.140474663,0.036250348,0.025862069,0.244068652,Opticon,Opticon Inc
1389,Opticon H19,2008-08-01,2008,1390,0.031220435,0.008388246,0.199635034,0.079136691,0.056910569,0.142857143,0.152251023,0.376229508,0.124438743,0.038455774,0.040948276,0.244068652,Opticon,Opticon Inc
1390,Opticon H19B,2008-08-01,2008,1391,0.031220435,0.008388246,0.199635034,0.079136691,0.056910569,0.142857143,0.152251023,0.376229508,0.124438743,0.038455774,0.040948276,0.244068652,Opticon,Opticon Inc
1391,Samsung SGH-i740,2008-08-01,2008,1392,0.031220435,0.004193611,0.311686129,0.079136691,0.056910569,0.142857143,0.14324693,0.237704918,0.050032072,0.009357001,0.00862069,0.249116608,Samsung,Samsung
1392,Samsung SGH-i900 / SGH-i900V Omnia 8GB,2008-08-01,2008,1393,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.137517053,0.258196721,0.041051956,0.007622637,0.013362069,0.257193337,Samsung,Samsung
1393,Samsung SGH-i900 / SGH-i908 Omnia 16GB,2008-08-01,2008,1394,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.137517053,0.258196721,0.041051956,0.007622637,0.013362069,0.257193337,Samsung,Samsung
1394,Samsung SGH-L870,2008-08-01,2008,1395,0.062471389,0.004193611,0.131604011,0.050359712,0.056910569,0.142857143,0.12005457,0.223360656,0.047466325,0.005674154,0.012931034,0.315244826,Samsung,Samsung
1395,Tibo XRoad A4050,2008-08-01,2008,1396,0.031220435,0.001047635,0.199635034,0.129496403,0.089430894,0.103174603,0.293315143,0.12295082,0.1533034,0.048412308,0.043103448,0.17617365,Tibo,Tibo
1396,WayteQ N300,2008-08-01,2008,1397,0.031220435,0.001047635,0.185628647,0.129496403,0.089430894,0.103174603,0.226466576,0.108196721,0.06863374,0.014838447,0.025862069,0.17617365,WayteQ,Wayteq Technology
1397,WayteQ N700H,2008-08-01,2008,1398,0.031220435,0.001047635,0.185628647,0.18705036,0.154471545,0.119047619,0.227830832,0.270491803,0.089159718,0.034879986,0.032327586,0.21251893,WayteQ,Wayteq Technology
1398,Asus P552w,2008-09-01,2008,1399,0.062471389,0.004193611,0.311686129,0.079136691,0.056910569,0.142857143,0.1473397,0.217213115,0.053880693,0.009721003,0.009698276,0.244068652,Asus,Asus
1399,Bluebird Pidion BIP-5000,2008-09-01,2008,1400,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.186903138,0.415163934,0.120590122,0.050660557,0.054741379,0.17617365,Bluebird,Bluebird Soft Inc
1400,Detailed Technical Datasheet of Bluebird Pidion BIP-5000,2008-09-01,2008,1401,0.062471389,0.002096294,0.259662406,0.129496403,0.056910569,0.142857143,0.186903138,0.415163934,0.120590122,0.014966919,0.025862069,0.463149924,Detailed,Bluebird Soft Inc
1401,E-TEN Glofiish V900,2008-09-01,2008,1402,0.062471389,0.004193611,0.266165371,0.079136691,0.154471545,0.301587302,0.1473397,0.233606557,0.073123797,0.014581504,0.01875,0.600201918,E-TEN,"E-TEN Information Systems Co., Ltd"
1402,E-TEN Glofiish X610,2008-09-01,2008,1403,0.031220435,0.002096294,0.199635034,0.079136691,0.056910569,0.142857143,0.140518417,0.237704918,0.055163566,0.010085005,0.01637931,0.244068652,E-TEN,"E-TEN Information Systems Co., Ltd"
1403,Gigabyte GSmart MW702,2008-09-01,2008,1404,0.062471389,0.004193611,0.259662406,0.079136691,0.056910569,0.142857143,0.145429741,0.278688525,0.055805003,0.012718669,0.015086207,0.244068652,Gigabyte,Gigabyte Technology
1404,HTC Touch Diamond US (HTC Diamond 110),2008-09-01,2008,1405,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.034637588,0.003361668,0.011853448,0.620646138,HTC,HTC
1405,HTC Touch Dual P5310 (HTC Neon 400),2008-09-01,2008,1406,0.062471389,0.004193611,0.263664231,0.064748201,0.056910569,0.142857143,0.132332879,0.237704918,0.066709429,0.011348307,0.012931034,0.270570419,HTC,HTC
1406,ICD Velocity Mobile 103,2008-09-01,2008,1407,0.062471389,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.140518417,0.221311475,0.057087877,0.009742415,0.015086207,0.600201918,ICD,Inventec Corporation
1407,JoinTech JPro Mini Laptop JL7100,2008-09-01,2008,1408,0.031220435,0.001047635,0.199635034,0.381294964,0.284552846,0.222222222,0.596180082,0.454918033,0.166132136,0.237222448,0.159482759,0.22387683,JoinTech,Join Technology
1408,Mio Knight Rider GPS,2008-09-01,2008,1409,0.031220435,0.016777517,0.199635034,0.18705036,0.154471545,0.119047619,0.336971351,0.110655738,0.074406671,0.028006766,0.026077586,0.21251893,Mio,MiTAC International Corp
1409,Mio Leap G50 (Mio Lovebird),2008-09-01,2008,1410,0.031220435,0.031878203,0.199635034,0.079136691,0.056910569,0.142857143,0.141882674,0.200819672,0.051956382,0.007986639,0.012715517,0.244068652,Mio,MiTAC International Corp
1410,Mio Leap K1,2008-09-01,2008,1411,0.031220435,0.031878203,0.199635034,0.064748201,0.056910569,0.142857143,0.128240109,0.229918033,0.053880693,0.008008051,0.014008621,0.276375568,Mio,MiTAC International Corp
1411,Navigon 2110 max,2008-09-01,2008,1412,0.031220435,0.001047635,0.199635034,0.18705036,0.154471545,0.119047619,0.315143247,0.115163934,0.080821039,0.028220885,0.025431034,0.21251893,Navigon,Navigon GmbH
1412,Navigon 2150 max,2008-09-01,2008,1413,0.031220435,0.001047635,0.199635034,0.18705036,0.154471545,0.119047619,0.315143247,0.115163934,0.080821039,0.028220885,0.025431034,0.21251893,Navigon,Navigon GmbH
1413,NDrive G280R,2008-09-01,2008,1414,0.031220435,0.001047635,0.185628647,0.129496403,0.089430894,0.103174603,0.227830832,0.106557377,0.08274535,0.01802882,0.017241379,0.17617365,NDrive,NDrive
1414,Nokia E66-2 (Nokia Dora),2008-09-01,2008,1415,0.062471389,0.004193611,0.184127962,0.050359712,0.056910569,0.142857143,0.117326057,0.239754098,0.048107761,0.006059568,0.013146552,0.308430086,Nokia,Nokia Corporation
1415,Nokia E66-3 (Nokia Dora),2008-09-01,2008,1416,0.062471389,0.004193611,0.184127962,0.050359712,0.056910569,0.142857143,0.117326057,0.239754098,0.048107761,0.006059568,0.013146552,0.308430086,Nokia,Nokia Corporation
1416,Nokia N96,2008-09-01,2008,1417,0.062471389,0.004193611,0.131604011,0.079136691,0.056910569,0.142857143,0.132332879,0.221311475,0.076330981,0.012397491,0.014008621,0.244068652,Nokia,Nokia Corporation
1417,O2 Xda Diamond / Xda Ignito (HTC Diamond 300),2008-09-01,2008,1418,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.033547146,0.003168961,0.010775862,0.620646138,O2,O2
1419,Palm Treo Pro ,2008-09-01,2008,1420,0.062471389,0.004193611,0.199635034,0.057553957,0.089430894,0.142857143,0.145975443,0.262295082,0.050673509,0.010877246,0.015732759,0.341241797,Palm,Palm
1420,Prestigio GeoVision 150,2008-09-01,2008,1421,0.031220435,0.016777517,0.185628647,0.129496403,0.089430894,0.103174603,0.274215553,0.106557377,0.073123797,0.02061966,0.025862069,0.17617365,Prestigio,Archos
1421,Prestigio GeoVision 450,2008-09-01,2008,1422,0.031220435,0.016777517,0.185628647,0.18705036,0.154471545,0.119047619,0.339699864,0.118852459,0.087876844,0.033873627,0.03125,0.21251893,Prestigio,Archos
1422,Prestigio GeoVision 450BT,2008-09-01,2008,1423,0.031220435,0.016777517,0.185628647,0.18705036,0.154471545,0.119047619,0.339699864,0.118852459,0.087876844,0.033873627,0.03125,0.21251893,Prestigio,Archos
1423,Psion Teklogix Neo,2008-09-01,2008,1424,0.062471389,0.002096294,0.15561496,0.071942446,0.056910569,0.142857143,0.156889495,0.487704918,0.178960872,0.068839261,0.046336207,0.259464917,Psion,Zebra Technologies
1424,Psion Teklogix Neo Alphanumeric,2008-09-01,2008,1425,0.062471389,0.002096294,0.15561496,0.071942446,0.056910569,0.142857143,0.156889495,0.487704918,0.178960872,0.068839261,0.046336207,0.259464917,Psion,Zebra Technologies
1425,QiGi i9 / i9P (TechFaith Bono),2008-09-01,2008,1426,0.062471389,0.003144952,0.259662406,0.09352518,0.154471545,0.380952381,0.14324693,0.278688525,0.092366902,0.020855191,0.025862069,0.674911661,QiGi,QiGi
1426,Samsung SGH-i908E,2008-09-01,2008,1427,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.137517053,0.258196721,0.041051956,0.007622637,0.013362069,0.257193337,Samsung,Samsung
1427,Samsung SPH-M4655 Multi-Touch II,2008-09-01,2008,1428,0.062471389,0.004193611,0.311686129,0.079136691,0.089430894,0.103174603,0.140518417,0.241803279,0.053880693,0.009999358,0.0125,0.244068652,Samsung,Samsung
1428,Sprint Touch Diamond (HTC Diamond 500),2008-09-01,2008,1429,0.140598773,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.120873124,0.213114754,0.050032072,0.005824037,0.011422414,0.620646138,Sprint,Sprint Corporation
1429,T-Mobile MDA Vario IV (HTC Raphael 300),2008-09-01,2008,1430,0.140598773,0.008388246,0.263664231,0.079136691,0.154471545,0.301587302,0.12414734,0.225409836,0.076330981,0.011391131,0.02112069,0.620646138,T-Mobile,T-Mobile
1430,Tibo A1550i,2008-09-01,2008,1431,0.031220435,0.000523305,0.199635034,0.129496403,0.089430894,0.103174603,0.296043656,0.12295082,0.108402822,0.035308224,0.043103448,0.17617365,Tibo,Tibo
1431,Airis T483 / T483L,2008-10-01,2008,1432,0.062471389,0.004193611,0.311686129,0.107913669,0.056910569,0.142857143,0.166439291,0.299180328,0.073765234,0.021583196,0.023275862,0.204442201,Airis,Airis
1432,Emobile Touch Diamond S21HT (HTC Diamond 210),2008-10-01,2008,1433,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.033675433,0.003190373,0.010775862,0.620646138,Emobile,Huawei
1433,Gigabyte GSmart MS802,2008-10-01,2008,1434,0.062471389,0.004193611,0.259662406,0.079136691,0.056910569,0.142857143,0.145429741,0.278688525,0.055805003,0.012718669,0.015086207,0.244068652,Gigabyte,Gigabyte Technology
1434,HKC C880 (TechFaith Moffett),2008-10-01,2008,1435,0.031220435,0.002096294,0.207638683,0.079136691,0.056910569,0.142857143,0.142155525,0.268442623,0.060295061,0.012825729,0.016810345,0.244068652,HKC,TechFaith Wirelessæ
1435,HTC Touch HD T8282 (HTC Blackstone 100),2008-10-01,2008,1436,0.140598773,0.008388246,0.263664231,0.151079137,0.154471545,0.380952381,0.15361528,0.270491803,0.037844772,0.00912147,0.01862069,0.50454316,HTC,HTC
1436,iconX G300,2008-10-01,2008,1437,0.062471389,0.001047635,0.197634121,0.129496403,0.089430894,0.103174603,0.249658936,0.12704918,0.063502245,0.017407875,0.023706897,0.17617365,iconX,iconX
1437,iconX G400,2008-10-01,2008,1438,0.062471389,0.001047635,0.197634121,0.18705036,0.154471545,0.119047619,0.320600273,0.147540984,0.060295061,0.025544398,0.026939655,0.21251893,iconX,iconX
1438,Mio Moov 150,2008-10-01,2008,1439,0.015594958,0.008388246,0.199635034,0.129496403,0.089430894,0.103174603,0.249658936,0.140983607,0.074406671,0.021540372,0.019396552,0.17617365,Mio,MiTAC International Corp
1439,Mio Moov 500,2008-10-01,2008,1440,0.031220435,0.016777517,0.199635034,0.215827338,0.154471545,0.119047619,0.361527967,0.142622951,0.074406671,0.034708691,0.029094828,0.18525997,Mio,MiTAC International Corp
1440,Mio Moov 510,2008-10-01,2008,1441,0.031220435,0.016777517,0.199635034,0.215827338,0.154471545,0.119047619,0.361527967,0.142622951,0.075689545,0.035201165,0.029094828,0.18525997,Mio,MiTAC International Corp
1441,Mio Moov 560,2008-10-01,2008,1442,0.031220435,0.031878203,0.199635034,0.215827338,0.154471545,0.119047619,0.361527967,0.142622951,0.075689545,0.035201165,0.029094828,0.18525997,Mio,MiTAC International Corp
1442,Mio Moov 580,2008-10-01,2008,1443,0.031220435,0.031878203,0.199635034,0.215827338,0.154471545,0.119047619,0.361527967,0.142622951,0.075689545,0.035201165,0.029094828,0.18525997,Mio,MiTAC International Corp
1443,Nokia 5800 / 5800d-1 XpressMusic (Nokia Tube),2008-10-01,2008,1444,0.062471389,0.004193611,0.184127962,0.107913669,0.105691057,0.301587302,0.123328786,0.254098361,0.060295061,0.009592532,0.010560345,0.469207471,Nokia,Nokia Corporation
1444,Nokia N85,2008-10-01,2008,1445,0.062471389,0.004193611,0.184127962,0.064748201,0.056910569,0.142857143,0.118690314,0.221311475,0.063502245,0.008200758,0.014655172,0.276375568,Nokia,Nokia Corporation
1445,O2 XDA Mantle (HTC Sedna 100),2008-10-01,2008,1446,0.062471389,0.004193611,0.199635034,0.129496403,0.056910569,0.142857143,0.181173261,0.362295082,0.092366902,0.034515984,0.034482759,0.17617365,O2,O2
1446,Palm Centro 690 CDMA,2008-10-01,2008,1447,0.031220435,0.003144952,0.15561496,0.043165468,0.089430894,0.142857143,0.128240109,0.23852459,0.080179602,0.01340385,0.012715517,0.395254922,Palm,Palm
1447,RIM BlackBerry Pearl Flip 8220 (RIM Kickstart),2008-10-01,2008,1448,0.031220435,0.002096294,0.15561496,0.064748201,0.056910569,0.142857143,0.118690314,0.213114754,0.073123797,0.009485472,0.009051724,0.276375568,RIM,BlackBerry Limited
1448,Samsung GT-i8510 INNOV8 8GB,2008-10-01,2008,1449,0.062471389,0.004193611,0.164619066,0.079136691,0.056910569,0.142857143,0.129331514,0.235655738,0.071199487,0.011690898,0.01637931,0.249116608,Samsung,Samsung
